x,project,cluster,subcluster,Readability,Understandability,Complexity,Modularity,Overall Maintainability,Do you think this code needs refactoring?,source,Issue,ClassName,CyclomaticComplexity,ComplexityRank,MaintainabilityIndex,PylintIssues_C,PylintIssues_R,PylintIssues_W,PylintIssues_E,PylintIssues_F,Comments,Multi,Blanks,PublicMethodsCount,CommentRatio,HalsteadEffort,HalsteadDifficulty,HalsteadVocabulary,bugs,code_smells,cognitive_complexity,duplicated_blocks,duplicated_lines,effort_to_reach_maintainability_rating_a,reliability_rating,reliability_remediation_effort,security_rating,security_remediation_effort,statements,sqale_index,sqale_debt_ratio,comment_lines_density,Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclExecutableUnit,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic
converters/base.py,merged_detectron2,6.0,33.0,4.0,4.0,4.0,4.0,4.0,0.0,human_annotated,2912.0,1380.0,3.0,1.0,76.1950468720058,2.0,0.0,0.0,6.0,0.0,5.0,35.0,18.0,2.0,0.0210526315789473,89.6240625180289,1.66666666666667,12.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0,0.0,0.0,51.8,7.0,2095.0,10.0,1.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,13.0
deeplab/loss.py,merged_detectron2,2.0,10.0,4.0,3.5,4.0,4.0,4.0,0.0,human_annotated,2335.0,5323.0,3.0,1.0,87.8906237559262,3.0,3.0,0.0,2.0,0.0,2.0,12.0,5.0,1.0,0.05,177.169498393993,3.33333333333333,10.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,19.0,0.0,0.0,40.0,4.0,6169.0,10.0,1.0,9.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,0.68,4.0
evaluation/fast_eval_api.py,merged_detectron2,6.0,34.0,3.5,3.0,2.5,4.0,2.5,0.0,human_annotated,195.0,2445.0,14.0,3.0,70.9713648006436,13.0,1.0,7.0,3.0,0.0,15.0,15.0,19.0,2.0,0.107438016528926,685.743720276018,4.59375,23.0,0.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,57.0,26.0,1.2,28.8,4.0,7534.0,38.0,4.0,26.0,9.0,4.0,1.0,3.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,8.0,1.0,1.0,0.43,12.0
layers/swap_align2nat.py,merged_detectron2,6.0,33.0,3.0,2.5,3.5,3.0,2.5,1.0,human_annotated,3640.0,29721.0,2.0,1.0,82.40663441581,9.0,1.0,0.0,4.0,0.0,1.0,14.0,14.0,2.0,0.0163934426229508,37.3618614812828,0.6,11.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,8.0,0.8,31.9,7.0,100390.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.47,6.0
modeling/densepose_checkpoint.py,merged_detectron2,6.0,32.0,3.0,3.0,3.0,3.5,3.0,0.0,human_annotated,4209.0,5544.0,2.0,1.0,88.8718079194153,2.0,2.0,1.0,1.0,0.0,4.0,6.0,8.0,0.0,0.108108108108108,62.2697691354714,1.5,11.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,10.0,1.8,34.5,4.0,6590.0,4.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0
tracking/base_tracker.py,merged_detectron2,6.0,33.0,4.0,3.5,4.0,4.0,4.0,0.0,human_annotated,4450.0,1496.0,2.0,1.0,100.0,3.0,0.0,1.0,0.0,0.0,7.0,25.0,12.0,2.0,0.03125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,2.0,0.3,58.3,7.0,2118.0,9.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.28,5.0
tridentnet/trident_conv.py,merged_detectron2,2.0,10.0,3.5,3.5,3.5,4.0,3.5,0.0,human_annotated,3642.0,26484.0,9.0,2.0,43.4920191129071,4.0,4.0,0.0,6.0,0.0,1.0,0.0,11.0,2.0,0.0093457943925233,4029.91324617111,5.0,76.0,1.0,0.0,13.0,0.0,0.0,0.0,5.0,20.0,1.0,0.0,59.0,0.0,0.0,1.0,7.0,302379.0,32.0,2.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.01,12.0
tridentnet/trident_rpn.py,merged_detectron2,6.0,32.0,4.0,3.0,4.0,4.0,4.0,0.0,human_annotated,3412.0,26485.0,4.0,1.0,87.5851614953393,1.0,3.0,0.0,4.0,0.0,2.0,6.0,7.0,1.0,0.0625,343.346878665029,3.81818181818182,17.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,0.0,32.0,7.0,302381.0,9.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.47,4.0
vis/densepose_results_textures.py,merged_detectron2,6.0,33.0,3.0,2.5,2.5,3.5,2.5,1.0,human_annotated,3720.0,5583.0,4.0,1.0,63.5122592619617,11.0,0.0,1.0,2.0,0.0,9.0,5.0,18.0,3.0,0.064516129032258,5808.06920559383,8.29787234042553,57.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,53.0,7.0,0.4,17.9,4.0,6958.0,14.0,2.0,12.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,4.0,9.0,0.0,4.0,1.0,2.0,0.12,10.0
cli/command.py,merged_dvc,5.0,10.0,4.0,3.5,3.5,4.0,3.5,0.0,human_annotated,3740.0,3215.0,2.0,1.0,100.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,7.0,4217.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,7.0
